id_gastos;id_periodo;categoria;item;valor
202;16;Educação;Material;644.34
203;31;Alimentação;Delivery;949.64
204;35;Lazer;Show;385.16
205;11;Saúde;Farmácia;987.23
206;11;Alimentação;Supermercado;1125.51
207;13;Educação;Material;141.0
208;12;Alimentação;Supermercado;975.5
209;29;Alimentação;Supermercado;278.76
210;7;Moradia;Água;560.43
211;23;Saúde;Academia;723.94
212;7;Transporte;Combustível;915.74
213;22;Transporte;Pedágio;609.56
214;22;Alimentação;Café;217.34
215;18;Outros;Taxas;1266.72
216;2;Lazer;Cinema;1058.6
217;25;Outros;Outros;1160.59
218;30;Educação;Cursos;713.01
219;18;Transporte;Combustível;1474.23
220;34;Lazer;Show;1109.5
221;29;Moradia;Energia;156.48
222;32;Outros;Taxas;1052.56
223;31;Outros;Presentes;1418.05
224;11;Lazer;Cinema;1466.77
225;13;Outros;Taxas;1262.23
226;35;Saúde;Farmácia;1005.01
227;27;Transporte;Combustível;63.79
228;1;Outros;Presentes;1243.31
229;1;Moradia;Energia;790.41
230;9;Lazer;Streaming;559.31
231;4;Outros;Presentes;1312.11
232;34;Transporte;Manutenção;1333.81
233;17;Saúde;Consulta;1322.28
234;16;Lazer;Show;1389.07
235;36;Alimentação;Supermercado;161.32
236;24;Lazer;Viagem;1071.99
237;7;Alimentação;Delivery;826.0
238;18;Moradia;Energia;844.9
239;29;Outros;Outros;275.69
240;8;Moradia;Água;1384.41
241;28;Saúde;Farmácia;1423.55
242;6;Saúde;Farmácia;321.15
243;19;Outros;Presentes;1030.58
244;18;Moradia;Internet;686.25
245;34;Saúde;Consulta;720.15
246;20;Moradia;Aluguel;122.32
247;17;Lazer;Viagem;361.67
248;17;Moradia;Aluguel;801.51
249;21;Transporte;Combustível;328.06
250;16;Educação;Livros;682.98
251;35;Outros;Outros;849.01
252;29;Outros;Outros;912.39
253;32;Transporte;Ônibus;872.85
254;14;Saúde;Consulta;85.86
255;4;Transporte;Combustível;831.73
256;36;Transporte;Manutenção;1229.91
257;6;Saúde;Academia;252.15
258;9;Alimentação;Supermercado;130.51
259;17;Educação;Livros;1051.8
260;1;Transporte;Manutenção;547.1
261;20;Lazer;Cinema;170.38
262;8;Moradia;Aluguel;539.03
263;24;Lazer;Streaming;579.51
264;30;Saúde;Farmácia;937.89
265;6;Alimentação;Restaurante;217.6
266;33;Lazer;Show;1418.52
267;14;Transporte;Manutenção;149.19
268;33;Alimentação;Café;181.67
269;34;Alimentação;Delivery;1217.26
270;22;Moradia;Água;737.82
271;20;Alimentação;Supermercado;714.31
272;11;Moradia;Energia;718.91
273;2;Lazer;Viagem;92.43
274;16;Outros;Taxas;179.6
275;36;Outros;Presentes;576.98
276;4;Saúde;Academia;920.66
277;27;Moradia;Aluguel;1256.69
278;30;Transporte;Combustível;1009.27
279;25;Educação;Livros;1305.42
280;23;Lazer;Show;591.82
281;10;Alimentação;Restaurante;108.55
282;29;Moradia;Água;351.15
283;11;Saúde;Consulta;1447.34
284;20;Educação;Material;512.66
285;25;Outros;Presentes;571.98
286;20;Moradia;Internet;970.13
287;2;Transporte;Ônibus;610.52
288;11;Alimentação;Supermercado;367.89
289;5;Lazer;Streaming;322.44
290;7;Moradia;Energia;1415.49
291;14;Outros;Outros;673.1
292;7;Alimentação;Restaurante;1252.87
293;26;Educação;Livros;636.38
294;35;Moradia;Internet;1480.79
295;24;Outros;Presentes;1087.13
296;1;Educação;Livros;721.24
297;16;Outros;Outros;1164.59
298;10;Lazer;Cinema;1175.25
299;35;Lazer;Viagem;1416.51
300;24;Transporte;Ônibus;950.18
301;9;Saúde;Farmácia;351.73
302;24;Educação;Cursos;544.18
303;29;Lazer;Cinema;749.37
304;8;Saúde;Farmácia;1418.52
305;8;Lazer;Show;846.94
306;29;Transporte;Manutenção;1303.61
307;8;Educação;Livros;913.29
308;26;Alimentação;Restaurante;924.1
309;20;Outros;Presentes;181.6
310;8;Outros;Taxas;1210.18
311;34;Outros;Presentes;748.24
312;17;Saúde;Consulta;1325.99
313;36;Lazer;Streaming;447.66
314;32;Outros;Taxas;718.39
315;19;Educação;Livros;1264.02
316;29;Transporte;Combustível;168.33
317;16;Saúde;Academia;1131.97
318;34;Transporte;Pedágio;772.62
319;20;Transporte;Pedágio;319.44
320;33;Moradia;Energia;793.48
321;31;Saúde;Academia;1227.74
322;25;Educação;Material;747.04
323;14;Alimentação;Restaurante;752.37
324;4;Saúde;Consulta;319.69
325;33;Alimentação;Supermercado;44.83
326;31;Lazer;Streaming;347.58
327;35;Outros;Presentes;324.99
328;21;Lazer;Viagem;1308.76
329;8;Alimentação;Supermercado;806.32
330;14;Alimentação;Delivery;1064.93
331;12;Moradia;Água;75.66
332;9;Educação;Cursos;399.78
333;27;Transporte;Manutenção;557.58
334;28;Outros;Presentes;821.92
335;28;Lazer;Cinema;336.25
336;1;Outros;Outros;1173.69
337;14;Transporte;Manutenção;558.46
338;9;Moradia;Água;1278.98
339;17;Saúde;Consulta;1332.76
340;24;Transporte;Manutenção;47.38
341;18;Lazer;Show;1337.99
342;11;Outros;Taxas;1222.12
343;7;Educação;Cursos;1400.09
344;6;Alimentação;Restaurante;813.35
345;33;Outros;Outros;532.19
346;29;Transporte;Combustível;134.02
347;11;Moradia;Água;1475.05
348;13;Outros;Presentes;653.4
349;19;Moradia;Energia;1212.91
350;20;Educação;Cursos;879.39
351;20;Moradia;Internet;485.97
352;12;Transporte;Ônibus;1391.96
353;24;Alimentação;Supermercado;671.31
354;16;Alimentação;Restaurante;768.41
355;11;Alimentação;Delivery;1349.06
356;21;Transporte;Combustível;322.7
357;1;Alimentação;Delivery;668.32
358;30;Lazer;Cinema;500.04
359;11;Educação;Livros;1402.92
360;33;Outros;Outros;418.07
361;23;Transporte;Ônibus;519.04
362;4;Alimentação;Supermercado;1458.12
363;28;Saúde;Consulta;423.73
364;29;Transporte;Pedágio;875.22
365;24;Educação;Material;700.92
366;7;Transporte;Manutenção;781.88
367;36;Outros;Presentes;237.09
368;2;Saúde;Consulta;384.47
369;11;Alimentação;Restaurante;1425.46
370;19;Transporte;Ônibus;1024.48
371;21;Educação;Livros;380.23
372;5;Saúde;Farmácia;217.81
373;32;Alimentação;Restaurante;1449.03
374;30;Transporte;Combustível;679.81
375;36;Educação;Cursos;111.87
376;8;Outros;Presentes;464.71
377;5;Outros;Taxas;942.19
378;7;Educação;Material;523.29
379;36;Lazer;Streaming;903.04
380;29;Outros;Taxas;1478.37
381;8;Alimentação;Restaurante;849.46
382;3;Alimentação;Supermercado;906.02
383;2;Alimentação;Restaurante;615.78
384;14;Transporte;Manutenção;1087.17
385;25;Saúde;Farmácia;319.69
386;2;Saúde;Consulta;815.16
387;24;Alimentação;Café;218.71
388;19;Outros;Outros;995.78
389;11;Outros;Outros;284.3
390;9;Alimentação;Restaurante;628.94
391;29;Transporte;Pedágio;763.24
392;25;Transporte;Pedágio;151.0
393;19;Transporte;Ônibus;243.05
394;10;Lazer;Cinema;654.6
395;15;Outros;Taxas;344.44
396;31;Saúde;Academia;1256.74
397;8;Saúde;Farmácia;629.48
398;21;Transporte;Manutenção;1308.86
399;1;Educação;Livros;512.73
400;15;Transporte;Ônibus;295.26
401;19;Transporte;Combustível;1218.33
402;12;Educação;Material;1260.19
403;2;Educação;Material;912.47
404;3;Alimentação;Restaurante;1240.01
405;27;Educação;Cursos;997.17
406;33;Lazer;Show;854.73
407;9;Alimentação;Café;794.21
408;23;Educação;Livros;1074.73
409;28;Educação;Material;694.38
410;35;Transporte;Manutenção;1355.33
411;21;Saúde;Farmácia;341.07
412;12;Moradia;Água;989.2
413;29;Transporte;Combustível;587.95
414;2;Lazer;Viagem;672.37
415;23;Saúde;Consulta;81.41
416;24;Saúde;Academia;33.87
417;5;Outros;Presentes;225.91
418;21;Moradia;Internet;1455.49
419;7;Lazer;Viagem;1427.61
420;3;Transporte;Manutenção;421.72
421;18;Outros;Taxas;518.39
422;21;Outros;Presentes;469.31
423;15;Saúde;Farmácia;65.85
424;23;Saúde;Academia;185.26
425;23;Alimentação;Delivery;302.42
426;1;Transporte;Ônibus;1251.22
427;21;Outros;Outros;1187.15
428;2;Alimentação;Restaurante;1043.67
429;17;Moradia;Aluguel;22.86
430;32;Educação;Cursos;1257.71
431;9;Outros;Taxas;1349.37
432;3;Outros;Outros;1436.79
433;4;Saúde;Farmácia;789.11
434;16;Educação;Material;268.97
435;10;Moradia;Aluguel;331.35
436;8;Saúde;Farmácia;241.54
437;16;Lazer;Streaming;1253.84
438;22;Alimentação;Café;743.7
439;24;Outros;Presentes;1077.54
440;34;Saúde;Consulta;527.24
441;19;Lazer;Show;433.28
442;36;Outros;Taxas;905.48
443;12;Educação;Material;186.3
444;3;Lazer;Cinema;151.73
445;9;Transporte;Pedágio;996.27
446;7;Transporte;Pedágio;557.37
447;36;Alimentação;Delivery;306.68
448;27;Saúde;Farmácia;46.23
449;19;Saúde;Farmácia;715.06
450;29;Outros;Presentes;300.1
451;6;Outros;Presentes;66.37
452;9;Educação;Livros;522.77
453;12;Outros;Taxas;298.47
454;18;Moradia;Aluguel;1287.82
455;8;Transporte;Pedágio;1145.82
456;5;Educação;Livros;740.5
457;21;Moradia;Internet;329.79
458;16;Saúde;Academia;669.24
459;28;Outros;Presentes;1485.5
460;19;Transporte;Pedágio;430.01
461;31;Alimentação;Restaurante;72.43
462;35;Outros;Taxas;391.94
463;17;Educação;Livros;558.65
464;23;Lazer;Streaming;124.24
465;9;Moradia;Aluguel;1382.55
466;12;Transporte;Combustível;182.14
467;29;Lazer;Viagem;741.95
468;15;Saúde;Academia;548.61
469;15;Lazer;Streaming;640.8
470;19;Saúde;Consulta;847.09
471;25;Lazer;Cinema;950.34
472;4;Saúde;Farmácia;782.76
473;27;Transporte;Combustível;656.26
474;30;Outros;Presentes;684.16
475;15;Alimentação;Café;1362.03
476;5;Saúde;Academia;1066.07
477;19;Lazer;Viagem;185.44
478;29;Saúde;Consulta;1089.04
479;1;Saúde;Consulta;1311.82
480;32;Lazer;Viagem;855.47
481;34;Alimentação;Café;979.1
482;21;Outros;Outros;1378.6
483;21;Outros;Presentes;715.28
484;24;Transporte;Manutenção;507.01
485;4;Outros;Presentes;1242.99
486;34;Transporte;Combustível;1156.2
487;23;Alimentação;Restaurante;135.74
488;24;Saúde;Farmácia;1118.82
489;20;Saúde;Farmácia;534.52
490;35;Outros;Taxas;1491.08
491;2;Lazer;Viagem;338.32
492;18;Transporte;Ônibus;1128.4
493;4;Transporte;Ônibus;754.96
494;30;Educação;Cursos;693.92
495;21;Transporte;Combustível;1172.5
496;13;Lazer;Show;424.73
497;4;Outros;Taxas;712.02
498;8;Alimentação;Restaurante;241.91
499;5;Outros;Taxas;138.71
500;17;Outros;Taxas;1489.06
501;23;Lazer;Viagem;844.09
502;16;Saúde;Consulta;1330.24
503;3;Outros;Presentes;1272.21
504;32;Saúde;Farmácia;650.08
505;29;Educação;Cursos;1255.35
506;14;Moradia;Energia;1319.35
507;7;Lazer;Show;1372.26
508;33;Alimentação;Restaurante;358.71
509;16;Outros;Outros;1407.25
510;13;Outros;Presentes;491.02
511;3;Outros;Outros;1423.77
512;30;Moradia;Energia;935.17
513;14;Educação;Material;684.4
514;5;Moradia;Internet;608.0
515;11;Transporte;Pedágio;101.92
516;22;Outros;Taxas;885.54
517;15;Outros;Presentes;942.21
518;10;Moradia;Água;1141.6
519;13;Educação;Cursos;1267.5
520;15;Outros;Presentes;219.89
521;3;Moradia;Aluguel;565.37
522;14;Saúde;Consulta;1484.97
523;17;Outros;Presentes;1315.97
524;8;Outros;Presentes;1115.94
525;31;Alimentação;Supermercado;1407.14
526;6;Outros;Taxas;204.72
527;36;Moradia;Aluguel;1002.87
528;23;Alimentação;Café;1192.73
529;22;Transporte;Pedágio;1353.54
530;21;Lazer;Show;568.63
531;33;Transporte;Pedágio;1234.75
532;1;Outros;Outros;1041.19
533;1;Outros;Taxas;1418.08
534;21;Moradia;Internet;1233.38
535;21;Alimentação;Supermercado;582.54
536;29;Moradia;Energia;1221.59
537;31;Lazer;Show;620.45
538;15;Transporte;Combustível;1354.87
539;12;Outros;Outros;790.8
540;2;Saúde;Academia;975.45
541;20;Educação;Livros;506.85
542;27;Moradia;Energia;370.26
543;8;Educação;Material;521.94
544;36;Transporte;Pedágio;1455.07
545;31;Educação;Cursos;1398.95
546;21;Moradia;Água;109.44
547;31;Saúde;Academia;447.99
548;25;Outros;Outros;1126.95
549;22;Educação;Cursos;760.25
550;6;Moradia;Aluguel;650.61
551;28;Lazer;Cinema;1488.89
552;30;Educação;Cursos;1205.11
553;3;Educação;Cursos;820.79
554;8;Educação;Cursos;186.07
555;15;Lazer;Show;630.8
556;17;Moradia;Aluguel;817.99
557;35;Moradia;Internet;324.48
558;9;Educação;Cursos;1033.73
559;28;Transporte;Ônibus;615.13
560;35;Lazer;Streaming;1427.81
561;6;Moradia;Aluguel;889.28
562;20;Transporte;Pedágio;1281.19
563;12;Educação;Cursos;960.61
564;19;Lazer;Viagem;551.13
565;25;Alimentação;Delivery;201.78
566;1;Moradia;Energia;551.09
567;12;Educação;Material;764.92
568;26;Transporte;Combustível;1237.15
569;32;Lazer;Streaming;155.54
570;30;Moradia;Aluguel;252.56
571;10;Alimentação;Delivery;1455.69
572;24;Educação;Livros;1100.88
573;5;Outros;Outros;161.96
574;30;Outros;Taxas;433.97
575;21;Lazer;Cinema;1069.52
576;21;Alimentação;Supermercado;392.03
577;5;Moradia;Internet;730.59
578;32;Transporte;Ônibus;861.69
579;29;Moradia;Aluguel;1493.66
580;20;Saúde;Consulta;546.45
581;3;Saúde;Consulta;803.37
582;8;Alimentação;Delivery;1395.31
583;19;Lazer;Streaming;231.6
584;6;Moradia;Internet;225.71
585;10;Alimentação;Restaurante;1004.68
586;6;Transporte;Combustível;711.85
587;2;Alimentação;Delivery;260.34
588;17;Transporte;Pedágio;162.51
589;22;Alimentação;Delivery;1334.42
590;26;Educação;Cursos;518.86
591;19;Lazer;Cinema;626.03
592;2;Educação;Material;1497.42
593;15;Moradia;Internet;277.95
594;20;Educação;Material;1240.91
595;3;Saúde;Consulta;726.71
596;19;Transporte;Combustível;1251.73
597;33;Alimentação;Supermercado;450.03
598;1;Educação;Livros;93.05
599;36;Alimentação;Café;801.23
600;13;Educação;Material;1499.33
601;26;Lazer;Viagem;1305.06
602;7;Moradia;Energia;1236.96
603;4;Moradia;Aluguel;396.28
604;28;Alimentação;Café;204.52
605;16;Saúde;Consulta;1364.57
606;5;Saúde;Consulta;1228.22
607;36;Saúde;Farmácia;1176.24
608;15;Transporte;Combustível;1328.17
609;34;Moradia;Internet;52.69
610;5;Lazer;Show;1301.99
611;30;Educação;Cursos;1032.08
612;9;Lazer;Streaming;1016.35
613;33;Lazer;Show;944.28
614;3;Alimentação;Restaurante;501.36
615;17;Educação;Livros;882.32
616;2;Educação;Cursos;1158.99
617;30;Alimentação;Restaurante;1452.58
618;31;Transporte;Pedágio;945.53
619;7;Transporte;Manutenção;191.77
620;33;Moradia;Água;426.25
621;13;Lazer;Show;386.84
622;35;Educação;Material;1394.58
623;36;Transporte;Manutenção;1196.99
624;33;Moradia;Internet;139.0
625;15;Moradia;Aluguel;963.67
626;7;Saúde;Consulta;1237.13
627;29;Educação;Livros;1151.17
628;33;Lazer;Show;1066.67
629;7;Transporte;Manutenção;1313.14
630;12;Saúde;Consulta;1479.43
631;15;Educação;Material;423.69
632;5;Educação;Livros;1450.63
633;4;Transporte;Combustível;1049.28
634;20;Outros;Outros;442.47
635;26;Educação;Material;87.02
636;7;Alimentação;Restaurante;883.55
637;25;Outros;Taxas;1158.96
638;31;Lazer;Show;1204.36
639;24;Saúde;Consulta;184.74
640;16;Alimentação;Restaurante;387.75
641;32;Outros;Outros;464.6
642;27;Saúde;Consulta;1453.82
643;33;Moradia;Água;483.85
644;2;Saúde;Academia;601.35
645;2;Moradia;Energia;1332.65
646;21;Transporte;Manutenção;551.43
647;19;Alimentação;Café;52.96
648;34;Transporte;Pedágio;898.36
649;3;Saúde;Farmácia;287.28
650;31;Educação;Cursos;1112.3
651;24;Outros;Outros;127.29
652;24;Educação;Livros;793.93
653;7;Moradia;Água;360.4
654;14;Lazer;Viagem;1339.35
655;5;Lazer;Cinema;1227.54
656;20;Educação;Livros;1107.02
657;21;Outros;Outros;369.65
658;28;Alimentação;Restaurante;660.47
659;3;Outros;Taxas;1028.16
660;4;Educação;Material;851.83
661;14;Saúde;Consulta;1100.3
662;15;Alimentação;Delivery;753.82
663;35;Transporte;Ônibus;1249.05
664;5;Saúde;Consulta;75.94
665;12;Alimentação;Supermercado;135.98
666;7;Transporte;Ônibus;937.52
667;10;Transporte;Pedágio;597.53
668;31;Moradia;Internet;571.17
669;12;Outros;Taxas;1216.21
670;16;Moradia;Água;363.41
671;27;Saúde;Academia;649.68
672;10;Outros;Outros;1162.59
673;32;Educação;Cursos;92.73
674;2;Alimentação;Delivery;117.99
675;25;Transporte;Pedágio;719.07
676;29;Educação;Material;1385.91
677;18;Alimentação;Restaurante;328.93
678;13;Transporte;Ônibus;252.26
679;32;Outros;Taxas;880.46
680;17;Educação;Cursos;1352.37
681;25;Saúde;Academia;74.96
682;28;Educação;Material;364.09
683;4;Alimentação;Café;1394.53
684;25;Transporte;Manutenção;1224.42
685;25;Transporte;Manutenção;1026.62
686;35;Saúde;Consulta;320.45
687;23;Moradia;Aluguel;1311.04
688;1;Lazer;Cinema;1059.56
689;17;Moradia;Internet;336.68
690;10;Outros;Taxas;969.68
691;34;Transporte;Combustível;743.52
692;20;Transporte;Pedágio;1459.18
693;19;Outros;Presentes;654.27
694;35;Lazer;Viagem;482.7
695;28;Transporte;Pedágio;435.86
696;36;Lazer;Cinema;837.65
697;11;Saúde;Farmácia;1273.73
698;13;Lazer;Cinema;240.44
699;10;Moradia;Água;1036.1
700;23;Alimentação;Supermercado;233.45
701;9;Alimentação;Café;143.21
702;25;Moradia;Aluguel;811.22
703;5;Outros;Outros;782.18
704;5;Outros;Taxas;1227.83
705;23;Educação;Material;1017.77
706;14;Lazer;Viagem;1289.2
707;14;Transporte;Combustível;596.08
708;24;Educação;Material;540.65
709;27;Lazer;Streaming;438.95
710;12;Saúde;Academia;757.75
711;12;Educação;Livros;1207.58
712;11;Educação;Livros;1150.35
713;13;Outros;Presentes;327.12
714;28;Educação;Cursos;791.06
715;7;Educação;Livros;582.83
716;26;Outros;Outros;561.56
717;26;Saúde;Consulta;1306.5
718;16;Saúde;Consulta;844.68
719;22;Transporte;Pedágio;1074.92
720;23;Educação;Material;118.33
721;19;Lazer;Show;674.24
722;24;Educação;Material;1392.56
723;5;Lazer;Show;767.1
724;28;Lazer;Show;296.99
725;8;Saúde;Consulta;1073.88
726;24;Transporte;Pedágio;274.57
727;36;Educação;Material;1477.3
728;23;Lazer;Streaming;1052.0
729;17;Moradia;Água;1340.71
730;7;Alimentação;Restaurante;580.82
731;16;Moradia;Aluguel;1111.87
732;27;Moradia;Energia;1287.38
733;30;Alimentação;Restaurante;453.33
734;22;Outros;Outros;37.16
735;29;Transporte;Ônibus;891.0
736;21;Moradia;Água;543.31
737;15;Outros;Outros;656.62
738;20;Outros;Presentes;521.68
739;31;Outros;Taxas;1213.58
740;21;Saúde;Consulta;728.21
741;4;Outros;Presentes;1154.55
742;12;Outros;Outros;1417.43
743;18;Outros;Outros;474.6
744;13;Alimentação;Supermercado;896.99
745;27;Alimentação;Delivery;149.99
746;35;Moradia;Aluguel;465.07
747;15;Transporte;Combustível;1093.63
748;14;Transporte;Manutenção;427.05
749;21;Transporte;Combustível;110.59
750;34;Transporte;Ônibus;1001.57
751;14;Outros;Presentes;884.55
752;14;Saúde;Academia;1208.94
753;31;Lazer;Show;1083.76
754;7;Educação;Material;1479.01
755;11;Educação;Livros;636.82
756;20;Moradia;Internet;989.89
757;2;Moradia;Água;1498.83
758;32;Educação;Cursos;213.54
759;5;Transporte;Combustível;95.64
760;15;Transporte;Pedágio;1191.53
761;20;Educação;Cursos;1066.47
762;31;Lazer;Cinema;781.03
763;14;Saúde;Farmácia;1443.38
764;4;Moradia;Água;878.78
765;26;Alimentação;Supermercado;134.25
766;27;Moradia;Energia;1418.23
767;12;Saúde;Consulta;1208.26
768;23;Outros;Presentes;1343.95
769;15;Outros;Outros;883.12
770;4;Alimentação;Restaurante;1378.72
771;16;Outros;Presentes;1385.78
772;15;Moradia;Internet;1063.81
773;3;Saúde;Farmácia;841.0
774;22;Alimentação;Delivery;359.88
775;20;Lazer;Show;1407.95
776;13;Transporte;Pedágio;1485.66
