Produto,Categoria,Data da venda,Loja,Cidade,Quantidade,Valor da venda
Mesa Escritório,Móveis,2025-02-23,Loja Nova Iguaçu,Nova Iguaçu,4,1511.47
Mouse,Acessórios,2023-02-22,Loja Norte,Rio de Janeiro,2,3354.64
Tablet,Eletrônicos,2023-04-21,Loja Sul,Rio de Janeiro,1,2327.59
Pendrive,Armazenamento,2025-06-18,Loja São Gonçalo,São Gonçalo,4,7044.21
Headset,Acessórios,2024-10-28,Loja Sul,Rio de Janeiro,5,24334.48
Roteador,Redes,2025-12-10,Loja Teresópolis,Teresópolis,3,12353.59
Smartphone,Eletrônicos,2024-06-17,Loja Teresópolis,Teresópolis,5,13830.7
Mouse,Acessórios,2024-06-07,Loja Petrópolis,Petrópolis,2,8952.75
Notebook,Eletrônicos,2025-03-04,Loja Teresópolis,Teresópolis,1,2431.67
Monitor,Eletrônicos,2023-12-16,Loja Nova Iguaçu,Nova Iguaçu,3,13824.96
Roteador,Redes,2025-11-15,Loja Centro,Rio de Janeiro,4,16162.79
Notebook,Eletrônicos,2024-12-19,Loja Sul,Rio de Janeiro,2,7623.56
HD Externo,Armazenamento,2023-12-31,Loja Nova Iguaçu,Nova Iguaçu,2,463.16
Webcam,Periféricos,2025-10-27,Loja Sul,Rio de Janeiro,3,13443.82
HD Externo,Armazenamento,2025-03-16,Loja Norte,Rio de Janeiro,3,6047.88
Cadeira Gamer,Móveis,2024-04-29,Loja Duque,Duque de Caxias,4,597.41
Cadeira Gamer,Móveis,2023-03-27,Loja Centro,Rio de Janeiro,2,5399.82
Cadeira Gamer,Móveis,2023-01-25,Loja Centro,Rio de Janeiro,4,7231.07
Cadeira Gamer,Móveis,2023-04-21,Loja Norte,Rio de Janeiro,4,10834.71
Smartphone,Eletrônicos,2025-01-17,Loja Nova Iguaçu,Nova Iguaçu,3,5774.77
Mouse,Acessórios,2024-11-22,Loja São Gonçalo,São Gonçalo,2,6114.8
Tablet,Eletrônicos,2023-11-11,Loja Nova Iguaçu,Nova Iguaçu,5,8426.12
Cadeira Gamer,Móveis,2024-10-23,Loja Centro,Rio de Janeiro,5,4033.26
Impressora,Periféricos,2025-04-22,Loja Barra,Rio de Janeiro,1,447.16
Headset,Acessórios,2023-08-17,Loja Nova Iguaçu,Nova Iguaçu,4,19945.66
Monitor,Eletrônicos,2024-04-12,Loja Norte,Rio de Janeiro,4,18364.43
Pendrive,Armazenamento,2023-04-28,Loja São Gonçalo,São Gonçalo,1,2479.21
Monitor,Eletrônicos,2024-07-27,Loja Sul,Rio de Janeiro,1,3606.36
Tablet,Eletrônicos,2025-11-15,Loja Nova Iguaçu,Nova Iguaçu,3,12602.95
Mouse,Acessórios,2025-04-15,Loja São Gonçalo,São Gonçalo,3,3112.68
Teclado,Acessórios,2023-05-20,Loja Centro,Rio de Janeiro,1,3072.57
Monitor,Eletrônicos,2023-05-19,Loja Niterói,Niterói,4,6548.72
Headset,Acessórios,2025-06-20,Loja Centro,Rio de Janeiro,2,4597.25
Mouse,Acessórios,2023-06-21,Loja Duque,Duque de Caxias,2,3291.3
Smartphone,Eletrônicos,2023-11-17,Loja Barra,Rio de Janeiro,5,317.09
Cadeira Gamer,Móveis,2023-11-14,Loja Nova Iguaçu,Nova Iguaçu,4,19307.53
HD Externo,Armazenamento,2024-01-11,Loja Niterói,Niterói,3,14084.36
Smartwatch,Eletrônicos,2024-05-27,Loja Sul,Rio de Janeiro,4,16868.21
Webcam,Periféricos,2023-09-27,Loja Petrópolis,Petrópolis,4,3440.39
Mouse,Acessórios,2023-01-05,Loja Niterói,Niterói,3,10028.18
Mesa Escritório,Móveis,2024-08-23,Loja Barra,Rio de Janeiro,5,14810.59
Smartphone,Eletrônicos,2024-09-07,Loja Nova Iguaçu,Nova Iguaçu,3,9417.91
Notebook,Eletrônicos,2024-07-28,Loja Duque,Duque de Caxias,1,1199.45
Notebook,Eletrônicos,2025-03-31,Loja Duque,Duque de Caxias,3,8211.31
Monitor,Eletrônicos,2024-08-01,Loja São Gonçalo,São Gonçalo,3,5123.35
Teclado,Acessórios,2024-04-22,Loja Centro,Rio de Janeiro,3,11860.67
Monitor,Eletrônicos,2025-10-17,Loja Petrópolis,Petrópolis,5,19519.66
Notebook,Eletrônicos,2024-08-20,Loja Barra,Rio de Janeiro,2,7648.34
Tablet,Eletrônicos,2025-05-14,Loja Teresópolis,Teresópolis,5,2988.14
Teclado,Acessórios,2025-08-05,Loja Nova Iguaçu,Nova Iguaçu,5,13611.55
Roteador,Redes,2025-04-23,Loja Barra,Rio de Janeiro,5,18070.9
Pendrive,Armazenamento,2025-01-24,Loja Sul,Rio de Janeiro,4,10945.94
Tablet,Eletrônicos,2023-01-11,Loja Niterói,Niterói,2,3490.99
Monitor,Eletrônicos,2023-01-23,Loja Nova Iguaçu,Nova Iguaçu,2,9478.11
Smartwatch,Eletrônicos,2023-05-21,Loja Teresópolis,Teresópolis,2,6153.4
Pendrive,Armazenamento,2025-04-07,Loja Nova Iguaçu,Nova Iguaçu,3,13991.96
Teclado,Acessórios,2025-06-06,Loja Barra,Rio de Janeiro,5,17754.16
Mesa Escritório,Móveis,2024-08-26,Loja Centro,Rio de Janeiro,2,782.32
Headset,Acessórios,2025-02-17,Loja Nova Iguaçu,Nova Iguaçu,1,610.53
Mouse,Acessórios,2024-02-24,Loja Teresópolis,Teresópolis,1,1694.12
Monitor,Eletrônicos,2024-01-06,Loja Duque,Duque de Caxias,5,9637.82
Mouse,Acessórios,2023-07-21,Loja Petrópolis,Petrópolis,4,15798.24
Mesa Escritório,Móveis,2024-07-28,Loja Petrópolis,Petrópolis,4,10840.43
Tablet,Eletrônicos,2024-01-21,Loja São Gonçalo,São Gonçalo,2,4860.29
Tablet,Eletrônicos,2024-10-01,Loja Centro,Rio de Janeiro,3,637.77
Tablet,Eletrônicos,2024-10-25,Loja Sul,Rio de Janeiro,1,2516.92
Monitor,Eletrônicos,2023-06-26,Loja Niterói,Niterói,5,14619.56
Monitor,Eletrônicos,2023-06-05,Loja Teresópolis,Teresópolis,2,6669.02
Impressora,Periféricos,2024-11-19,Loja Centro,Rio de Janeiro,4,8409.56
Smartwatch,Eletrônicos,2024-07-14,Loja Nova Iguaçu,Nova Iguaçu,1,1584.19
HD Externo,Armazenamento,2024-03-10,Loja Duque,Duque de Caxias,3,12026.76
HD Externo,Armazenamento,2024-03-04,Loja Centro,Rio de Janeiro,5,11933.66
Webcam,Periféricos,2023-01-18,Loja Sul,Rio de Janeiro,1,3888.86
Pendrive,Armazenamento,2023-07-13,Loja Norte,Rio de Janeiro,4,9725.54
HD Externo,Armazenamento,2025-08-04,Loja São Gonçalo,São Gonçalo,4,3802.18
Roteador,Redes,2025-03-10,Loja Duque,Duque de Caxias,2,2780.37
HD Externo,Armazenamento,2023-03-28,Loja Norte,Rio de Janeiro,4,16827.82
Impressora,Periféricos,2025-04-12,Loja Nova Iguaçu,Nova Iguaçu,1,1148.76
Webcam,Periféricos,2024-03-18,Loja Duque,Duque de Caxias,5,14977.46
Cadeira Gamer,Móveis,2024-08-01,Loja Niterói,Niterói,3,9843.28
Pendrive,Armazenamento,2023-04-06,Loja Nova Iguaçu,Nova Iguaçu,3,14445.34
Teclado,Acessórios,2023-07-01,Loja Niterói,Niterói,5,10308.21
Impressora,Periféricos,2023-01-07,Loja Norte,Rio de Janeiro,2,946.53
Impressora,Periféricos,2023-05-27,Loja Niterói,Niterói,5,21941.99
Roteador,Redes,2024-05-28,Loja Norte,Rio de Janeiro,1,4096.35
Teclado,Acessórios,2025-10-19,Loja Teresópolis,Teresópolis,2,3694.29
Impressora,Periféricos,2023-09-18,Loja Barra,Rio de Janeiro,5,10382.94
HD Externo,Armazenamento,2025-12-12,Loja Petrópolis,Petrópolis,4,4546.31
Mesa Escritório,Móveis,2024-08-15,Loja São Gonçalo,São Gonçalo,2,5701.19
Tablet,Eletrônicos,2023-05-08,Loja Duque,Duque de Caxias,1,2449.65
Notebook,Eletrônicos,2024-07-05,Loja Petrópolis,Petrópolis,2,6371.43
Impressora,Periféricos,2024-05-08,Loja Petrópolis,Petrópolis,4,2819.07
Roteador,Redes,2025-03-15,Loja Norte,Rio de Janeiro,3,12365.37
Mouse,Acessórios,2023-02-10,Loja Teresópolis,Teresópolis,2,5586.36
Cadeira Gamer,Móveis,2024-08-10,Loja São Gonçalo,São Gonçalo,5,522.15
Mouse,Acessórios,2024-10-07,Loja Petrópolis,Petrópolis,3,9021.58
Smartwatch,Eletrônicos,2025-03-31,Loja Petrópolis,Petrópolis,2,9152.68
Mesa Escritório,Móveis,2024-12-02,Loja Niterói,Niterói,2,4278.16
Smartphone,Eletrônicos,2025-03-29,Loja São Gonçalo,São Gonçalo,5,15178.01
Mesa Escritório,Móveis,2023-01-11,Loja Niterói,Niterói,4,14437.11
Impressora,Periféricos,2023-04-08,Loja Nova Iguaçu,Nova Iguaçu,5,12222.93
Mesa Escritório,Móveis,2025-01-20,Loja Barra,Rio de Janeiro,4,3407.87
Teclado,Acessórios,2025-08-15,Loja Centro,Rio de Janeiro,3,9013.12
Smartphone,Eletrônicos,2023-06-03,Loja Petrópolis,Petrópolis,2,1155.32
Cadeira Gamer,Móveis,2025-11-06,Loja Nova Iguaçu,Nova Iguaçu,1,2502.68
Tablet,Eletrônicos,2023-02-11,Loja Nova Iguaçu,Nova Iguaçu,1,1269.69
Headset,Acessórios,2023-04-18,Loja Norte,Rio de Janeiro,4,19360.45
Monitor,Eletrônicos,2024-06-07,Loja Norte,Rio de Janeiro,3,4821.76
Tablet,Eletrônicos,2025-08-14,Loja Centro,Rio de Janeiro,1,4753.67
Impressora,Periféricos,2023-01-12,Loja Centro,Rio de Janeiro,3,11023.54
Mouse,Acessórios,2024-01-09,Loja Centro,Rio de Janeiro,1,4521.65
Smartwatch,Eletrônicos,2024-05-03,Loja Teresópolis,Teresópolis,5,16830.46
Mesa Escritório,Móveis,2024-02-05,Loja Duque,Duque de Caxias,2,5722.66
Mesa Escritório,Móveis,2023-12-01,Loja Duque,Duque de Caxias,5,18342.84
Headset,Acessórios,2025-04-06,Loja Nova Iguaçu,Nova Iguaçu,5,11986.8
HD Externo,Armazenamento,2025-07-23,Loja Barra,Rio de Janeiro,3,4888.64
Mesa Escritório,Móveis,2025-09-21,Loja Duque,Duque de Caxias,4,2587.22
Smartphone,Eletrônicos,2025-03-15,Loja Sul,Rio de Janeiro,3,5197.14
Impressora,Periféricos,2023-12-30,Loja Duque,Duque de Caxias,1,2715.09
Monitor,Eletrônicos,2024-12-22,Loja Petrópolis,Petrópolis,1,4435.59
Mesa Escritório,Móveis,2023-11-07,Loja Norte,Rio de Janeiro,3,13070.97
HD Externo,Armazenamento,2025-11-28,Loja Duque,Duque de Caxias,4,1243.14
Notebook,Eletrônicos,2025-01-17,Loja Niterói,Niterói,1,2924.75
Smartwatch,Eletrônicos,2023-09-23,Loja Petrópolis,Petrópolis,1,1715.03
Teclado,Acessórios,2024-07-30,Loja Niterói,Niterói,1,596.85
HD Externo,Armazenamento,2023-11-20,Loja Nova Iguaçu,Nova Iguaçu,2,2412.72
Cadeira Gamer,Móveis,2025-08-06,Loja Centro,Rio de Janeiro,1,591.86
Cadeira Gamer,Móveis,2025-08-21,Loja Nova Iguaçu,Nova Iguaçu,4,19137.03
Mouse,Acessórios,2025-07-27,Loja Niterói,Niterói,4,8468.1
Webcam,Periféricos,2023-01-11,Loja Nova Iguaçu,Nova Iguaçu,5,24732.33
Impressora,Periféricos,2025-02-10,Loja Barra,Rio de Janeiro,3,6113.47
Roteador,Redes,2025-06-03,Loja São Gonçalo,São Gonçalo,3,7763.42
Mesa Escritório,Móveis,2025-04-04,Loja Norte,Rio de Janeiro,2,463.65
Mesa Escritório,Móveis,2023-02-23,Loja Sul,Rio de Janeiro,1,2615.39
Teclado,Acessórios,2024-02-23,Loja Teresópolis,Teresópolis,2,4962.74
Notebook,Eletrônicos,2023-01-03,Loja Nova Iguaçu,Nova Iguaçu,3,3482.94
Webcam,Periféricos,2023-11-25,Loja Petrópolis,Petrópolis,4,11685.71
Smartphone,Eletrônicos,2025-08-09,Loja Petrópolis,Petrópolis,3,4203.45
Roteador,Redes,2025-07-09,Loja Petrópolis,Petrópolis,2,8635.06
Cadeira Gamer,Móveis,2025-08-12,Loja Nova Iguaçu,Nova Iguaçu,2,4143.69
Pendrive,Armazenamento,2023-11-24,Loja São Gonçalo,São Gonçalo,3,10892.79
Mesa Escritório,Móveis,2024-03-29,Loja Norte,Rio de Janeiro,5,5699.53
Roteador,Redes,2025-08-30,Loja Niterói,Niterói,1,354.51
Roteador,Redes,2024-11-28,Loja Sul,Rio de Janeiro,3,5314.97
Smartphone,Eletrônicos,2023-08-04,Loja Nova Iguaçu,Nova Iguaçu,3,13042.19
Smartwatch,Eletrônicos,2024-07-24,Loja Centro,Rio de Janeiro,3,2531.94
Roteador,Redes,2023-12-22,Loja Petrópolis,Petrópolis,3,11327.84
Impressora,Periféricos,2024-07-10,Loja Niterói,Niterói,2,4708.15
Pendrive,Armazenamento,2024-03-01,Loja Duque,Duque de Caxias,2,8217.47
Mouse,Acessórios,2023-03-23,Loja Duque,Duque de Caxias,4,11212.4
Roteador,Redes,2025-12-05,Loja Duque,Duque de Caxias,3,14720.61
Notebook,Eletrônicos,2025-05-15,Loja Nova Iguaçu,Nova Iguaçu,4,379.63
Roteador,Redes,2025-10-04,Loja Sul,Rio de Janeiro,3,11451.26
Mesa Escritório,Móveis,2025-09-20,Loja Petrópolis,Petrópolis,4,12725.91
HD Externo,Armazenamento,2025-09-15,Loja Niterói,Niterói,4,3640.32
Teclado,Acessórios,2024-12-31,Loja Norte,Rio de Janeiro,1,3866.37
Notebook,Eletrônicos,2025-06-04,Loja Teresópolis,Teresópolis,1,336.71
Webcam,Periféricos,2023-11-02,Loja Norte,Rio de Janeiro,5,11287.47
Tablet,Eletrônicos,2025-08-05,Loja Sul,Rio de Janeiro,5,9744.4
Roteador,Redes,2025-05-28,Loja Centro,Rio de Janeiro,3,3899.75
Impressora,Periféricos,2025-01-07,Loja Teresópolis,Teresópolis,5,23621.51
Headset,Acessórios,2023-02-08,Loja Petrópolis,Petrópolis,5,17418.64
Teclado,Acessórios,2025-08-31,Loja Norte,Rio de Janeiro,4,13159.32
Tablet,Eletrônicos,2025-04-28,Loja Sul,Rio de Janeiro,4,819.79
Roteador,Redes,2023-10-30,Loja Niterói,Niterói,5,16053.52
Monitor,Eletrônicos,2024-07-23,Loja Sul,Rio de Janeiro,4,14543.57
Smartphone,Eletrônicos,2025-10-05,Loja Sul,Rio de Janeiro,1,3588.87
Smartphone,Eletrônicos,2025-12-19,Loja Nova Iguaçu,Nova Iguaçu,1,4349.68
Mouse,Acessórios,2024-08-13,Loja Nova Iguaçu,Nova Iguaçu,3,12695.03
Teclado,Acessórios,2024-01-22,Loja Duque,Duque de Caxias,5,3498.31
Mouse,Acessórios,2024-01-13,Loja Nova Iguaçu,Nova Iguaçu,3,2904.06
Pendrive,Armazenamento,2025-01-03,Loja Petrópolis,Petrópolis,1,3056.17
Teclado,Acessórios,2024-06-04,Loja Barra,Rio de Janeiro,1,846.09
Monitor,Eletrônicos,2024-05-15,Loja São Gonçalo,São Gonçalo,5,14859.03
Webcam,Periféricos,2023-03-13,Loja Centro,Rio de Janeiro,5,2043.06
Smartphone,Eletrônicos,2023-01-11,Loja São Gonçalo,São Gonçalo,5,18987.22
