OrderKey,CustomerKey,StoreKey,OrderDate,DeliveryDate,CurrencyCode
10000,1279186,520,2015-01-10,2015-01-10,USD
10001,705594,300,2015-01-10,2015-01-10,EUR
10002,1452951,440,2015-01-10,2015-01-10,USD
10003,1473073,670,2015-01-10,2015-01-10,USD
10004,1031944,420,2015-01-10,2015-01-10,GBP
10005,222666,999999,2015-01-10,2015-01-21,CAD
10006,384894,90,2015-01-10,2015-01-10,CAD
10007,1159472,410,2015-01-10,2015-01-10,GBP
10008,1049930,420,2015-01-10,2015-01-10,GBP
10009,1313088,520,2015-01-10,2015-01-10,USD
10010,467849,230,2015-01-10,2015-01-10,EUR
12000,1381558,450,2015-01-12,2015-01-12,USD
12001,1357749,450,2015-01-12,2015-01-12,USD
12002,1928189,605,2015-01-12,2015-01-12,USD
12003,901966,370,2015-01-12,2015-01-12,GBP
13000,1799462,430,2015-01-13,2015-01-13,USD
13001,615821,150,2015-01-13,2015-01-13,EUR
13002,143847,20,2015-01-13,2015-01-13,AUD
13003,1795383,605,2015-01-13,2015-01-13,USD
13004,202969,110,2015-01-13,2015-01-13,CAD
13005,390139,90,2015-01-13,2015-01-13,CAD
14000,1185065,420,2015-01-14,2015-01-14,GBP
14001,1711405,590,2015-01-14,2015-01-14,USD
14002,708902,280,2015-01-14,2015-01-14,EUR
14003,591175,220,2015-01-14,2015-01-14,EUR
14004,1585639,610,2015-01-14,2015-01-14,USD
14005,1735273,460,2015-01-14,2015-01-14,USD
14006,451673,220,2015-01-14,2015-01-14,EUR
14007,1046812,360,2015-01-14,2015-01-14,GBP
15000,375318,90,2015-01-15,2015-01-15,CAD
15001,1383676,590,2015-01-15,2015-01-15,USD
15002,245887,90,2015-01-15,2015-01-15,CAD
15003,1097738,999999,2015-01-15,2015-01-25,GBP
15004,1695307,605,2015-01-15,2015-01-15,USD
15005,1539270,630,2015-01-15,2015-01-15,USD
15006,1161348,410,2015-01-15,2015-01-15,GBP
15007,1591398,560,2015-01-15,2015-01-15,USD
15008,282982,110,2015-01-15,2015-01-15,CAD
16000,1500461,580,2015-01-16,2015-01-16,USD
16001,433038,200,2015-01-16,2015-01-16,EUR
16002,1975564,440,2015-01-16,2015-01-16,USD
16003,542038,250,2015-01-16,2015-01-16,EUR
16004,1797449,430,2015-01-16,2015-01-16,USD
16005,913985,360,2015-01-16,2015-01-16,GBP
17000,924770,390,2015-01-17,2015-01-17,GBP
17001,1789541,660,2015-01-17,2015-01-17,USD
17002,712502,999999,2015-01-17,2015-01-28,EUR
17003,355529,72,2015-01-17,2015-01-17,CAD
17004,1070013,400,2015-01-17,2015-01-17,GBP
17005,674069,120,2015-01-17,2015-01-17,EUR
17006,1078533,370,2015-01-17,2015-01-17,GBP
17007,776521,280,2015-01-17,2015-01-17,EUR
17008,1126829,410,2015-01-17,2015-01-17,GBP
17009,1751193,520,2015-01-17,2015-01-17,USD
17010,583071,250,2015-01-17,2015-01-17,EUR
19000,1395545,500,2015-01-19,2015-01-19,USD
19001,801331,350,2015-01-19,2015-01-19,EUR
19002,312553,72,2015-01-19,2015-01-19,CAD
19003,342738,80,2015-01-19,2015-01-19,CAD
20000,2072280,450,2015-01-20,2015-01-20,USD
20001,1503965,540,2015-01-20,2015-01-20,USD
20002,1673695,570,2015-01-20,2015-01-20,USD
20003,927587,420,2015-01-20,2015-01-20,GBP
20004,1371529,480,2015-01-20,2015-01-20,USD
20005,1608064,580,2015-01-20,2015-01-20,USD
21000,685949,180,2015-01-21,2015-01-21,EUR
21002,1198381,370,2015-01-21,2015-01-21,GBP
21003,2044780,605,2015-01-21,2015-01-21,USD
21004,1183991,360,2015-01-21,2015-01-21,GBP
21005,826380,320,2015-01-21,2015-01-21,EUR
21006,1625486,540,2015-01-21,2015-01-21,USD
21007,280627,110,2015-01-21,2015-01-21,CAD
22000,1775449,999999,2015-01-22,2015-02-01,USD
22001,1019949,390,2015-01-22,2015-01-22,GBP
22002,2004116,570,2015-01-22,2015-01-22,USD
22003,1199543,410,2015-01-22,2015-01-22,GBP
22004,1506990,999999,2015-01-22,2015-01-31,USD
22005,1551763,660,2015-01-22,2015-01-22,USD
22006,2012580,590,2015-01-22,2015-01-22,USD
22007,721694,290,2015-01-22,2015-01-22,EUR
22008,523274,250,2015-01-22,2015-01-22,EUR
23000,1986429,605,2015-01-23,2015-01-23,USD
23001,314213,999999,2015-01-23,2015-01-30,CAD
23002,1862342,450,2015-01-23,2015-01-23,USD
23003,1711446,480,2015-01-23,2015-01-23,USD
23004,2052576,440,2015-01-23,2015-01-23,USD
23005,1670773,550,2015-01-23,2015-01-23,USD
24000,1182643,400,2015-01-24,2015-01-24,GBP
24001,928010,400,2015-01-24,2015-01-24,GBP
24002,1073952,420,2015-01-24,2015-01-24,GBP
24003,1009454,360,2015-01-24,2015-01-24,GBP
24004,690254,160,2015-01-24,2015-01-24,EUR
24005,553810,220,2015-01-24,2015-01-24,EUR
24006,788014,280,2015-01-24,2015-01-24,EUR
24007,465760,220,2015-01-24,2015-01-24,EUR
24008,1549952,570,2015-01-24,2015-01-24,USD
24009,1826392,440,2015-01-24,2015-01-24,USD
24010,545029,220,2015-01-24,2015-01-24,EUR
26000,1596255,520,2015-01-26,2015-01-26,USD
26001,1416081,560,2015-01-26,2015-01-26,USD
26002,968026,410,2015-01-26,2015-01-26,GBP
26003,133386,999999,2015-01-26,2015-02-01,AUD
27000,1019904,370,2015-01-27,2015-01-27,GBP
27001,1082172,420,2015-01-27,2015-01-27,GBP
27002,1388162,610,2015-01-27,2015-01-27,USD
27003,1991658,650,2015-01-27,2015-01-27,USD
27004,1371246,605,2015-01-27,2015-01-27,USD
27005,2083067,540,2015-01-27,2015-01-27,USD
28000,398069,72,2015-01-28,2015-01-28,CAD
28001,2071460,530,2015-01-28,2015-01-28,USD
28002,1088738,400,2015-01-28,2015-01-28,GBP
28003,564637,200,2015-01-28,2015-01-28,EUR
28004,1876517,630,2015-01-28,2015-01-28,USD
28005,1908945,540,2015-01-28,2015-01-28,USD
28006,810590,310,2015-01-28,2015-01-28,EUR
28007,464055,270,2015-01-28,2015-01-28,EUR
29000,1820344,670,2015-01-29,2015-01-29,USD
29001,1265355,580,2015-01-29,2015-01-29,USD
29002,1494449,605,2015-01-29,2015-01-29,USD
29003,234346,72,2015-01-29,2015-01-29,CAD
29004,944388,410,2015-01-29,2015-01-29,GBP
29005,1970310,540,2015-01-29,2015-01-29,USD
29006,1036563,420,2015-01-29,2015-01-29,GBP
29007,613845,160,2015-01-29,2015-01-29,EUR
29008,1341125,530,2015-01-29,2015-01-29,USD
30000,2022892,630,2015-01-30,2015-01-30,USD
30001,1045949,999999,2015-01-30,2015-02-07,GBP
30002,1364833,999999,2015-01-30,2015-02-08,USD
30003,1837268,440,2015-01-30,2015-01-30,USD
30004,200729,90,2015-01-30,2015-01-30,CAD
30005,1427918,430,2015-01-30,2015-01-30,USD
31000,660324,999999,2015-01-31,2015-02-06,EUR
31001,1142572,420,2015-01-31,2015-01-31,GBP
31002,1287924,560,2015-01-31,2015-01-31,USD
31003,1899020,605,2015-01-31,2015-01-31,USD
31004,205113,90,2015-01-31,2015-01-31,CAD
31005,214503,80,2015-01-31,2015-01-31,CAD
31006,545955,240,2015-01-31,2015-01-31,EUR
31007,130500,10,2015-01-31,2015-01-31,AUD
31008,1282395,450,2015-01-31,2015-01-31,USD
31009,492517,230,2015-01-31,2015-01-31,EUR
31010,1193303,390,2015-01-31,2015-01-31,GBP
33000,1200171,550,2015-02-02,2015-02-02,USD
33001,308256,72,2015-02-02,2015-02-02,CAD
33002,1050929,410,2015-02-02,2015-02-02,GBP
33003,1181710,420,2015-02-02,2015-02-02,GBP
33004,231318,80,2015-02-02,2015-02-02,CAD
34000,1071378,390,2015-02-03,2015-02-03,GBP
34002,1864118,560,2015-02-03,2015-02-03,USD
34003,1232450,520,2015-02-03,2015-02-03,USD
34004,2023031,650,2015-02-03,2015-02-03,USD
34005,1065599,410,2015-02-03,2015-02-03,GBP
35000,6048,40,2015-02-04,2015-02-04,AUD
35001,1022679,390,2015-02-04,2015-02-04,GBP
35002,182926,40,2015-02-04,2015-02-04,AUD
35003,1772259,570,2015-02-04,2015-02-04,USD
35004,214557,90,2015-02-04,2015-02-04,CAD
35005,2090366,540,2015-02-04,2015-02-04,USD
35006,1163125,410,2015-02-04,2015-02-04,GBP
35007,1952393,590,2015-02-04,2015-02-04,USD
36000,1920480,500,2015-02-05,2015-02-05,USD
36001,267900,72,2015-02-05,2015-02-05,CAD
36002,1070596,400,2015-02-05,2015-02-05,GBP
36003,446178,230,2015-02-05,2015-02-05,EUR
36004,1305571,670,2015-02-05,2015-02-05,USD
36005,1096338,390,2015-02-05,2015-02-05,GBP
36006,606300,160,2015-02-05,2015-02-05,EUR
36007,1193379,420,2015-02-05,2015-02-05,GBP
36008,388328,90,2015-02-05,2015-02-05,CAD
37000,1043859,420,2015-02-06,2015-02-06,GBP
37001,2039622,460,2015-02-06,2015-02-06,USD
37002,1883341,999999,2015-02-06,2015-02-21,USD
37003,1494223,510,2015-02-06,2015-02-06,USD
37004,460129,240,2015-02-06,2015-02-06,EUR
37005,111481,20,2015-02-06,2015-02-06,AUD
38000,230241,110,2015-02-07,2015-02-07,CAD
38001,1680336,520,2015-02-07,2015-02-07,USD
38002,2000313,480,2015-02-07,2015-02-07,USD
38003,962981,410,2015-02-07,2015-02-07,GBP
38004,1639605,500,2015-02-07,2015-02-07,USD
38005,639469,180,2015-02-07,2015-02-07,EUR
38006,1316577,630,2015-02-07,2015-02-07,USD
38007,1519153,650,2015-02-07,2015-02-07,USD
38008,1029513,400,2015-02-07,2015-02-07,GBP
38009,1308550,540,2015-02-07,2015-02-07,USD
38010,257485,110,2015-02-07,2015-02-07,CAD
40000,896933,340,2015-02-09,2015-02-09,EUR
40001,1893439,480,2015-02-09,2015-02-09,USD
40002,1727170,460,2015-02-09,2015-02-09,USD
40003,1803811,440,2015-02-09,2015-02-09,USD
40004,420870,240,2015-02-09,2015-02-09,EUR
41000,457105,230,2015-02-10,2015-02-10,EUR
41001,1885530,650,2015-02-10,2015-02-10,USD
41002,1762775,999999,2015-02-10,2015-02-22,USD
41003,1461156,450,2015-02-10,2015-02-10,USD
41004,1011965,390,2015-02-10,2015-02-10,GBP
41005,978654,410,2015-02-10,2015-02-10,GBP
42000,1700696,999999,2015-02-11,2015-02-23,USD
42001,689643,120,2015-02-11,2015-02-11,EUR
42002,381037,90,2015-02-11,2015-02-11,CAD
42003,521171,250,2015-02-11,2015-02-11,EUR
42004,1940337,610,2015-02-11,2015-02-11,USD
42005,973673,410,2015-02-11,2015-02-11,GBP
42006,261688,90,2015-02-11,2015-02-11,CAD
42007,778738,999999,2015-02-11,2015-02-25,EUR
42008,824615,310,2015-02-11,2015-02-11,EUR
42009,981042,400,2015-02-11,2015-02-11,GBP
43000,1602249,480,2015-02-12,2015-02-12,USD
43001,1619575,630,2015-02-12,2015-02-12,USD
43002,1587704,610,2015-02-12,2015-02-12,USD
43003,382479,999999,2015-02-12,2015-02-26,CAD
43004,1256964,605,2015-02-12,2015-02-12,USD
43005,500840,200,2015-02-12,2015-02-12,EUR
43006,1872421,460,2015-02-12,2015-02-12,USD
43007,798581,300,2015-02-12,2015-02-12,EUR
43008,1529512,530,2015-02-12,2015-02-12,USD
43009,571069,270,2015-02-12,2015-02-12,EUR
43010,1065083,360,2015-02-12,2015-02-12,GBP
43011,1408070,460,2015-02-12,2015-02-12,USD
43012,712428,280,2015-02-12,2015-02-12,EUR
44000,1193068,360,2015-02-13,2015-02-13,GBP
44001,267549,110,2015-02-13,2015-02-13,CAD
44002,87997,999999,2015-02-13,2015-02-25,AUD
44003,1925827,520,2015-02-13,2015-02-13,USD
44004,1695994,540,2015-02-13,2015-02-13,USD
44005,1378733,630,2015-02-13,2015-02-13,USD
44006,1626260,670,2015-02-13,2015-02-13,USD
44007,1632157,460,2015-02-13,2015-02-13,USD
44008,1597194,440,2015-02-13,2015-02-13,USD
44009,1595832,500,2015-02-13,2015-02-13,USD
45000,181976,60,2015-02-14,2015-02-14,AUD
45001,650870,140,2015-02-14,2015-02-14,EUR
45002,1337122,460,2015-02-14,2015-02-14,USD
45003,1513192,440,2015-02-14,2015-02-14,USD
45004,1684062,430,2015-02-14,2015-02-14,USD
45005,1501598,440,2015-02-14,2015-02-14,USD
45006,1066764,360,2015-02-14,2015-02-14,GBP
45007,2064591,460,2015-02-14,2015-02-14,USD
45008,570974,200,2015-02-14,2015-02-14,EUR
45009,600100,130,2015-02-14,2015-02-14,EUR
45010,1068072,410,2015-02-14,2015-02-14,GBP
45011,1727451,530,2015-02-14,2015-02-14,USD
45012,1825154,540,2015-02-14,2015-02-14,USD
45013,1485829,670,2015-02-14,2015-02-14,USD
45014,1727718,570,2015-02-14,2015-02-14,USD
45015,1538716,590,2015-02-14,2015-02-14,USD
45016,1133234,410,2015-02-14,2015-02-14,GBP
45017,1941780,450,2015-02-14,2015-02-14,USD
45018,2028304,550,2015-02-14,2015-02-14,USD
46000,1917770,630,2015-02-15,2015-02-15,USD
47000,913736,410,2015-02-16,2015-02-16,GBP
47001,1068622,999999,2015-02-16,2015-02-24,GBP
47002,980553,410,2015-02-16,2015-02-16,GBP
47003,40710,60,2015-02-16,2015-02-16,AUD
47004,1951547,480,2015-02-16,2015-02-16,USD
47005,749743,290,2015-02-16,2015-02-16,EUR
47006,1157370,420,2015-02-16,2015-02-16,GBP
47007,765683,300,2015-02-16,2015-02-16,EUR
47008,1250935,570,2015-02-16,2015-02-16,USD
47009,2060315,440,2015-02-16,2015-02-16,USD
48000,275899,90,2015-02-17,2015-02-17,CAD
48001,1290040,450,2015-02-17,2015-02-17,USD
48002,408581,200,2015-02-17,2015-02-17,EUR
48003,1817300,660,2015-02-17,2015-02-17,USD
48004,1457613,630,2015-02-17,2015-02-17,USD
48005,1769585,430,2015-02-17,2015-02-17,USD
48006,1609809,440,2015-02-17,2015-02-17,USD
48007,776967,300,2015-02-17,2015-02-17,EUR
48008,364307,90,2015-02-17,2015-02-17,CAD
48009,1894251,570,2015-02-17,2015-02-17,USD
48010,712741,290,2015-02-17,2015-02-17,EUR
48011,418828,220,2015-02-17,2015-02-17,EUR
48012,434536,230,2015-02-17,2015-02-17,EUR
49000,1948022,450,2015-02-18,2015-02-18,USD
49001,1971602,999999,2015-02-18,2015-02-25,USD
49002,324013,90,2015-02-18,2015-02-18,CAD
49003,1590816,560,2015-02-18,2015-02-18,USD
49004,1484856,570,2015-02-18,2015-02-18,USD
49005,830018,340,2015-02-18,2015-02-18,EUR
49006,1240331,999999,2015-02-18,2015-03-01,USD
49007,239091,110,2015-02-18,2015-02-18,CAD
49008,534324,999999,2015-02-18,2015-02-28,EUR
49009,703194,290,2015-02-18,2015-02-18,EUR
49010,315126,90,2015-02-18,2015-02-18,CAD
49011,1278015,450,2015-02-18,2015-02-18,USD
49012,472365,240,2015-02-18,2015-02-18,EUR
49013,1131553,420,2015-02-18,2015-02-18,GBP
49015,655533,999999,2015-02-18,2015-02-26,EUR
49016,939453,390,2015-02-18,2015-02-18,GBP
49017,926710,360,2015-02-18,2015-02-18,GBP
50000,879532,320,2015-02-19,2015-02-19,EUR
50001,1985083,560,2015-02-19,2015-02-19,USD
50002,120914,30,2015-02-19,2015-02-19,AUD
50003,1983088,670,2015-02-19,2015-02-19,USD
50004,272207,110,2015-02-19,2015-02-19,CAD
50005,1044962,400,2015-02-19,2015-02-19,GBP
50006,1711405,590,2015-02-19,2015-02-19,USD
50007,1591553,500,2015-02-19,2015-02-19,USD
50008,1163776,410,2015-02-19,2015-02-19,GBP
50009,1847745,580,2015-02-19,2015-02-19,USD
50010,529145,230,2015-02-19,2015-02-19,EUR
50011,717252,300,2015-02-19,2015-02-19,EUR
50012,1357422,999999,2015-02-19,2015-02-27,USD
50013,1310131,530,2015-02-19,2015-02-19,USD
50014,339799,90,2015-02-19,2015-02-19,CAD
50015,1016477,410,2015-02-19,2015-02-19,GBP
50016,1993573,650,2015-02-19,2015-02-19,USD
50017,1576696,630,2015-02-19,2015-02-19,USD
50018,1080314,390,2015-02-19,2015-02-19,GBP
50019,1321455,520,2015-02-19,2015-02-19,USD
50020,1620784,660,2015-02-19,2015-02-19,USD
51000,487645,200,2015-02-20,2015-02-20,EUR
51001,1326038,610,2015-02-20,2015-02-20,USD
51002,1360423,520,2015-02-20,2015-02-20,USD
51003,1912519,460,2015-02-20,2015-02-20,USD
51004,1114606,370,2015-02-20,2015-02-20,GBP
51005,1218795,999999,2015-02-20,2015-02-27,USD
51006,1942288,605,2015-02-20,2015-02-20,USD
51007,1528183,605,2015-02-20,2015-02-20,USD
51008,1392056,520,2015-02-20,2015-02-20,USD
51009,155943,40,2015-02-20,2015-02-20,AUD
51010,1880699,480,2015-02-20,2015-02-20,USD
51011,750699,290,2015-02-20,2015-02-20,EUR
51012,783889,999999,2015-02-20,2015-03-07,EUR
51013,197385,30,2015-02-20,2015-02-20,AUD
52000,1468720,440,2015-02-21,2015-02-21,USD
52001,1770429,610,2015-02-21,2015-02-21,USD
52002,1341338,440,2015-02-21,2015-02-21,USD
52003,1259341,630,2015-02-21,2015-02-21,USD
52004,673368,180,2015-02-21,2015-02-21,EUR
52005,542792,240,2015-02-21,2015-02-21,EUR
52006,170236,30,2015-02-21,2015-02-21,AUD
52007,935470,390,2015-02-21,2015-02-21,GBP
52008,996643,999999,2015-02-21,2015-03-02,GBP
52009,2091277,605,2015-02-21,2015-02-21,USD
52010,811279,340,2015-02-21,2015-02-21,EUR
52011,621700,130,2015-02-21,2015-02-21,EUR
52012,663594,150,2015-02-21,2015-02-21,EUR
52013,530309,999999,2015-02-21,2015-03-02,EUR
52014,2050148,610,2015-02-21,2015-02-21,USD
52015,2044462,580,2015-02-21,2015-02-21,USD
52016,1584795,999999,2015-02-21,2015-03-10,USD
52017,1362092,550,2015-02-21,2015-02-21,USD
52018,744241,300,2015-02-21,2015-02-21,EUR
52019,1417937,540,2015-02-21,2015-02-21,USD
52020,1408834,999999,2015-02-21,2015-03-04,USD
52021,1427038,630,2015-02-21,2015-02-21,USD
52022,1093395,420,2015-02-21,2015-02-21,GBP
52023,1640970,630,2015-02-21,2015-02-21,USD
52024,14527,30,2015-02-21,2015-02-21,AUD
52025,740129,280,2015-02-21,2015-02-21,EUR
53000,1201899,999999,2015-02-22,2015-03-09,USD
53001,1979682,510,2015-02-22,2015-02-22,USD
54000,902689,410,2015-02-23,2015-02-23,GBP
54001,1371579,560,2015-02-23,2015-02-23,USD
54002,236067,110,2015-02-23,2015-02-23,CAD
54003,275177,110,2015-02-23,2015-02-23,CAD
54004,1881320,610,2015-02-23,2015-02-23,USD
54005,765949,300,2015-02-23,2015-02-23,EUR
54006,23698,60,2015-02-23,2015-02-23,AUD
54007,1508791,450,2015-02-23,2015-02-23,USD
54008,1431844,510,2015-02-23,2015-02-23,USD
54009,1236006,999999,2015-02-23,2015-03-03,USD
55000,183044,40,2015-02-24,2015-02-24,AUD
55001,454980,250,2015-02-24,2015-02-24,EUR
55002,503478,230,2015-02-24,2015-02-24,EUR
55003,2011360,510,2015-02-24,2015-02-24,USD
55004,1142242,410,2015-02-24,2015-02-24,GBP
55005,635184,120,2015-02-24,2015-02-24,EUR
55006,1993677,630,2015-02-24,2015-02-24,USD
55007,1122751,370,2015-02-24,2015-02-24,GBP
55008,719335,300,2015-02-24,2015-02-24,EUR
55009,1219629,450,2015-02-24,2015-02-24,USD
55010,1282014,500,2015-02-24,2015-02-24,USD
55011,1872064,590,2015-02-24,2015-02-24,USD
55012,2096802,630,2015-02-24,2015-02-24,USD
56000,1748321,570,2015-02-25,2015-02-25,USD
56001,1938454,660,2015-02-25,2015-02-25,USD
56002,86561,40,2015-02-25,2015-02-25,AUD
56003,937491,420,2015-02-25,2015-02-25,GBP
56004,482615,999999,2015-02-25,2015-03-07,EUR
56005,729613,300,2015-02-25,2015-02-25,EUR
56006,1487417,590,2015-02-25,2015-02-25,USD
56007,1644436,440,2015-02-25,2015-02-25,USD
56008,650793,130,2015-02-25,2015-02-25,EUR
56009,1738648,570,2015-02-25,2015-02-25,USD
56010,1891543,540,2015-02-25,2015-02-25,USD
56011,1531441,610,2015-02-25,2015-02-25,USD
56012,1400481,530,2015-02-25,2015-02-25,USD
56013,1009156,420,2015-02-25,2015-02-25,GBP
56014,1208646,999999,2015-02-25,2015-03-07,USD
56015,439688,999999,2015-02-25,2015-02-27,EUR
57000,900324,410,2015-02-26,2015-02-26,GBP
57001,429885,240,2015-02-26,2015-02-26,EUR
57002,1560149,550,2015-02-26,2015-02-26,USD
57003,1434041,540,2015-02-26,2015-02-26,USD
57004,840603,310,2015-02-26,2015-02-26,EUR
57005,1092148,370,2015-02-26,2015-02-26,GBP
57006,1047620,999999,2015-02-26,2015-03-12,GBP
57007,297293,999999,2015-02-26,2015-03-08,CAD
57008,1190628,360,2015-02-26,2015-02-26,GBP
57009,60236,60,2015-02-26,2015-02-26,AUD
57010,592614,230,2015-02-26,2015-02-26,EUR
57011,459422,220,2015-02-26,2015-02-26,EUR
57012,1723197,540,2015-02-26,2015-02-26,USD
57013,1587128,610,2015-02-26,2015-02-26,USD
57014,1630046,999999,2015-02-26,2015-03-10,USD
57015,1948536,560,2015-02-26,2015-02-26,USD
58000,348640,80,2015-02-27,2015-02-27,CAD
58001,74368,40,2015-02-27,2015-02-27,AUD
58002,1045202,390,2015-02-27,2015-02-27,GBP
58003,1538455,430,2015-02-27,2015-02-27,USD
58004,2013678,550,2015-02-27,2015-02-27,USD
58005,19883,999999,2015-02-27,2015-03-13,AUD
58006,1680927,630,2015-02-27,2015-02-27,USD
58007,1257862,430,2015-02-27,2015-02-27,USD
58008,1908592,580,2015-02-27,2015-02-27,USD
58009,1578891,550,2015-02-27,2015-02-27,USD
59000,1231164,480,2015-02-28,2015-02-28,USD
59001,286424,110,2015-02-28,2015-02-28,CAD
59002,501522,250,2015-02-28,2015-02-28,EUR
59003,235486,90,2015-02-28,2015-02-28,CAD
59004,1221543,610,2015-02-28,2015-02-28,USD
59005,1184353,390,2015-02-28,2015-02-28,GBP
59006,1738262,999999,2015-02-28,2015-03-15,USD
59007,446178,230,2015-02-28,2015-02-28,EUR
59008,1890198,670,2015-02-28,2015-02-28,USD
59009,710583,290,2015-02-28,2015-02-28,EUR
59010,306845,110,2015-02-28,2015-02-28,CAD
59011,1021071,390,2015-02-28,2015-02-28,GBP
59012,1319309,510,2015-02-28,2015-02-28,USD
59013,1503897,430,2015-02-28,2015-02-28,USD
59014,1203024,570,2015-02-28,2015-02-28,USD
59015,1677746,670,2015-02-28,2015-02-28,USD
61000,442796,270,2015-03-02,2015-03-02,EUR
61001,496018,220,2015-03-02,2015-03-02,EUR
61002,1782502,440,2015-03-02,2015-03-02,USD
61003,1846463,460,2015-03-02,2015-03-02,USD
61004,2049271,630,2015-03-02,2015-03-02,USD
62000,1790072,999999,2015-03-03,2015-03-16,USD
62001,569811,270,2015-03-03,2015-03-03,EUR
62002,1619919,650,2015-03-03,2015-03-03,USD
62003,116924,40,2015-03-03,2015-03-03,AUD
62004,222507,110,2015-03-03,2015-03-03,CAD
62005,1753223,460,2015-03-03,2015-03-03,USD
63000,1352546,590,2015-03-04,2015-03-04,USD
63001,456687,250,2015-03-04,2015-03-04,EUR
63002,483998,270,2015-03-04,2015-03-04,EUR
63003,1942070,530,2015-03-04,2015-03-04,USD
63004,1060723,400,2015-03-04,2015-03-04,GBP
63005,1172267,400,2015-03-04,2015-03-04,GBP
63006,1155440,400,2015-03-04,2015-03-04,GBP
63007,690221,150,2015-03-04,2015-03-04,EUR
63008,2017261,540,2015-03-04,2015-03-04,USD
64000,928317,400,2015-03-05,2015-03-05,GBP
64001,904872,999999,2015-03-05,2015-03-19,GBP
64002,1764568,580,2015-03-05,2015-03-05,USD
64003,1458402,999999,2015-03-05,2015-03-16,USD
64004,1579799,650,2015-03-05,2015-03-05,USD
64005,721010,300,2015-03-05,2015-03-05,EUR
64006,952285,390,2015-03-05,2015-03-05,GBP
64007,273296,80,2015-03-05,2015-03-05,CAD
64008,1781218,550,2015-03-05,2015-03-05,USD
64009,625909,170,2015-03-05,2015-03-05,EUR
65000,102590,30,2015-03-06,2015-03-06,AUD
65001,1767205,605,2015-03-06,2015-03-06,USD
65002,1062257,390,2015-03-06,2015-03-06,GBP
65003,404969,230,2015-03-06,2015-03-06,EUR
65004,801204,310,2015-03-06,2015-03-06,EUR
65005,126921,999999,2015-03-06,2015-03-22,AUD
66000,1247638,520,2015-03-07,2015-03-07,USD
66001,90523,10,2015-03-07,2015-03-07,AUD
